id,sentence_id,tag,quote,correction,start,end,annotation_source
7944,1002,ortho,окружющей,окружающей,12,13,manual
101216,1006,agrcase,промышленным,промышленных,4,5,manual
18818,1009,syntax,воздействую,воздействуя,12,13,manual
119778,1009,"ortho,altern",желудожно-кишечный,желудочно-кишечный,17,18,manual
18819,1012,"syntax,transfer",это, ,7,8,manual
7959,1013,infl,свинцем,свинцом,14,15,manual
5942,1015,"infl,subst",свинцем,свинцом,14,15,manual
12843,1016,gov,загрязнение,загрязнения,12,13,manual
7960,1019,"constr,transfer",в процессе,в ходе,7,9,manual
7962,1021,infl,свинцем,свинцом,13,14,manual
7963,1021,gov,снижению,снижение,9,10,manual
7996,3012,ortho,однокурницы,однокурсницы,7,8,manual
9834,3012,ortho,Исскуство,Искусство,11,12,manual
9833,3013,ortho,Эксурсия,Экскурсия,0,1,manual
9832,3015,altern,музая,музея,8,9,manual
7430,5005,"lex,transfer",выбирает,стремится,21,22,manual
124468,5006,altern,Во- третьих,В-третьих,0,2,manual
7433,5007,ref,первом,нашем первом,9,10,manual
18826,5008,constr,показывается перед лицом наблюдателя,бросается в глаза наблюдателю,10,14,manual
18827,5008,lex,различием,отличием,20,21,manual
7437,5009,wo,очевидно особенно,особенно очевидно,5,7,manual
7438,5009,constr,в университетской жизни,в университете,7,10,manual
7501,5009,wo,Только добавлю,Добавлю только,0,2,manual
9851,5010,conj,как,как будто,24,25,manual
7450,5012,wo,согласен почти полностью,почти полностью согласен,2,5,manual
7452,5013,"syntax,transfer",- зависимость, в зависимости,7,9,manual
7457,5017,constr,это пишется нами как,его можно сформулировать,17,21,manual
7458,5017,,одно простое предложение,в одном простом предложении,23,26,manual
9876,5017,brev,огромная,огромно,14,15,manual
18829,5017,"lex,transfer",одна,единственное,9,10,manual
18830,5017,"lex,transfer",разница,отличие,10,11,manual
18831,5017,,эта,это,8,9,manual
9877,5018,morph,тем,в том,19,20,manual
23247,6003,ortho,эконмики,экономики,5,6,manual
21899,6006,ortho,индивидом,индивидам,8,9,manual
27234,6006,conj,Именно,А именно,0,1,manual
7966,6008,"ortho,space",по средствам,посредством,26,28,manual
21900,6008,"ortho,space",по средствам,посредством,3,5,manual
21975,6008,"transfer,infl",стимула,стимулы,19,20,manual
24712,6008,num,регулирования,регулирование,16,17,manual
24713,6008,,административные,административное,15,16,manual
27235,6008,transfer,продуктов,товаров,34,35,manual
24714,6022,gov,государство,государства,2,3,manual
